env,resolution,distance,alpha,true_obstacles,ari_b_obs,ari_k_obs,ari_b_full,ari_k_full,noise_b,noise_k,cc_err_b,cc_err_k,dist_bin
env_000_res2.0deg_180samp_o12_r9.0x4.5,2.0,3.7034399999999996,0.5077480293747643,12,0.33151352467478834,1.0,0.09993624860530384,0.574694517031312,66.66666666666667,7.222222222222222,9,3,mid (3-6 m)
env_001_res2.0deg_180samp_o15_r8.2x6.4,2.0,2.045715,0.6061709494927264,15,0.1372429947080767,0.4857142857142857,0.4025741542414871,0.35516238893591484,42.22222222222222,30.0,14,13,near (<3 m)
env_002_res1.5deg_240samp_o14_r6.6x8.9,1.5,3.921565,0.5743521016190329,14,0.38849155439565325,0.9576278778106244,0.3015642065038073,0.5673824262991477,45.0,6.666666666666667,10,5,mid (3-6 m)
env_003_res1.5deg_240samp_o8_r9.7x6.8,1.5,7.60647,0.36306763200133396,8,0.4608048749848295,0.9682536913805283,0.07017507695781793,0.462390520877662,73.75,1.25,6,2,far (>6 m)
env_004_res4.0deg_90samp_o6_r6.4x5.4,4.0,1.4384400000000002,0.5311718017089039,6,0.0,0.28328611898017,0.2763471981858328,0.627952257180659,53.333333333333336,35.55555555555556,6,5,near (<3 m)
env_005_res2.0deg_180samp_o5_r7.6x9.6,2.0,4.924285,0.42951871008958836,5,0.4970570062762187,1.0,0.09014731877399028,0.5580014971687002,84.44444444444444,3.888888888888889,4,1,mid (3-6 m)
env_006_res1.5deg_240samp_o10_r6.8x4.5,1.5,4.320715,0.5503751082523969,10,0.8125094765479806,0.9716507153341858,0.3825678539834799,0.915666529277492,54.583333333333336,0.8333333333333334,5,3,mid (3-6 m)
env_007_res2.0deg_180samp_o7_r8.9x4.1,2.0,5.411205,0.4028480543805676,7,0.37988834541925787,0.8966684763567996,0.14022165011325316,0.5887161112736095,66.66666666666667,0.5555555555555556,4,2,mid (3-6 m)
env_008_res0.5deg_720samp_o11_r7.6x7.8,0.5,5.82581,0.6992683180524661,11,0.9494904993690563,0.9527257029267854,0.8133916263805211,0.872065768429364,11.666666666666666,0.1388888888888889,2,2,mid (3-6 m)
env_009_res3.0deg_120samp_o8_r4.1x6.9,3.0,4.217125,0.39886793594118697,8,0.5308982736038242,0.9954404700948479,0.12866056314364155,0.5529562156957674,85.0,10.833333333333334,6,4,mid (3-6 m)
env_010_res3.0deg_120samp_o12_r5.3x5.5,3.0,5.382895,0.3524547517692388,12,0.26037247831257265,0.8942324847912794,0.07758985200845665,0.574939033137283,83.33333333333333,5.833333333333333,10,6,mid (3-6 m)
env_011_res3.0deg_120samp_o14_r6.0x5.0,3.0,2.812725,0.4822967271280664,14,0.16076729846997032,0.6948884426714106,0.08070327128312231,0.5420651416564372,74.16666666666667,24.166666666666668,9,8,near (<3 m)
env_012_res4.0deg_90samp_o10_r7.5x6.0,4.0,1.9677200000000001,0.4961430993638074,10,-0.009864364981504316,0.4333683105981112,0.025087538483168147,0.31611644503773684,67.77777777777777,51.111111111111114,8,8,near (<3 m)
env_013_res0.5deg_720samp_o15_r4.5x5.3,0.5,2.695625,0.699909063684222,15,1.0,1.0,0.9257426952466679,0.9439719465629518,0.9722222222222222,0.0,8,8,near (<3 m)
env_014_res1.5deg_240samp_o5_r6.1x7.6,1.5,0.8922899999999999,0.6770799563100723,5,0.0,0.0,0.3388399616817271,0.3822631825427477,29.583333333333332,25.833333333333332,4,4,near (<3 m)
env_015_res4.0deg_90samp_o10_r4.8x7.9,4.0,4.078685,0.37625434537064595,10,0.0,0.10465116279069768,0.053580299556473254,0.40578116408766,68.88888888888889,47.77777777777778,10,9,mid (3-6 m)
env_016_res1.5deg_240samp_o10_r4.3x4.7,1.5,1.49514,0.6666865278912749,10,0.6014911855196252,0.624936678607186,0.6746912894442483,0.7813412993268221,20.0,9.583333333333334,3,3,near (<3 m)
env_017_res3.0deg_120samp_o4_r7.4x4.9,3.0,2.4583850000000003,0.5058712518301137,4,1.0,1.0,0.1298066791421829,0.3910969638449152,64.16666666666667,33.333333333333336,3,3,near (<3 m)
env_018_res0.5deg_720samp_o4_r4.7x8.7,0.5,4.820705,0.6996252835632037,4,0.968840937265165,1.0,0.5464221428875653,0.5964057283905548,9.305555555555555,0.8333333333333334,2,1,mid (3-6 m)
env_019_res1.5deg_240samp_o12_r5.7x6.5,1.5,1.226645,0.671760867351443,12,0.528407937598835,0.8715883009605423,0.4942987604828355,0.5900721725970696,7.083333333333333,5.416666666666667,7,7,near (<3 m)
env_020_res0.5deg_720samp_o6_r7.8x5.5,0.5,5.442729999999999,0.6994329930212798,6,0.9260969601112132,1.0,0.5508987011196911,0.5740392804011425,4.444444444444445,0.0,1,1,mid (3-6 m)
env_021_res4.0deg_90samp_o14_r4.4x4.3,4.0,1.310105,0.5394593230022829,14,0.587589922149591,0.8844221105527639,0.3963505856271365,0.8071891857922955,40.0,18.88888888888889,12,12,near (<3 m)
env_022_res4.0deg_90samp_o12_r8.3x4.4,4.0,2.830255,0.4404956332378056,12,-0.012082172966644789,0.7216325491070007,0.02344817694394957,0.34055866432819726,95.55555555555556,45.55555555555556,11,8,near (<3 m)
env_023_res4.0deg_90samp_o10_r7.9x6.5,4.0,4.378355,0.36467834499291973,10,0.6622773965811288,0.8702472823531965,0.15909295419778638,0.40305473551197707,75.55555555555556,52.22222222222222,9,7,mid (3-6 m)
env_024_res3.0deg_120samp_o15_r5.9x6.8,3.0,4.13846,0.40282286635000564,15,0.12631125756534553,0.7520677883772078,0.05641276268938072,0.6135925331000887,88.33333333333333,30.833333333333332,14,10,mid (3-6 m)
env_025_res2.0deg_180samp_o14_r5.3x7.9,2.0,4.945129999999999,0.4283046189585462,14,0.15876911397272384,0.868743660834979,0.08147781334150099,0.7501258411539812,77.77777777777777,1.1111111111111112,9,4,mid (3-6 m)
env_026_res3.0deg_120samp_o13_r5.1x8.2,3.0,3.539485,0.43611583916691776,13,-0.04200600085726532,0.9114502421639404,0.031233741180046883,0.5360150572730632,94.16666666666667,32.5,12,9,mid (3-6 m)
env_027_res2.0deg_180samp_o8_r8.1x8.8,2.0,5.873405000000001,0.3811045499438895,8,0.0,1.0,0.09526671726057881,0.8289000987593109,68.88888888888889,3.3333333333333335,8,3,mid (3-6 m)
env_028_res4.0deg_90samp_o5_r5.7x5.2,4.0,1.68743,0.5148015087894446,5,0.0,0.0,0.18225037094004032,0.27737488224651224,56.666666666666664,44.44444444444444,5,5,near (<3 m)
env_029_res2.0deg_180samp_o8_r6.4x5.0,2.0,3.2244300000000004,0.5391731156960874,8,0.023440970063071866,0.9823114225067734,0.20798866519451797,0.5885324718498436,55.0,13.88888888888889,6,4,mid (3-6 m)
env_030_res0.5deg_720samp_o14_r4.6x6.3,0.5,1.7778699999999998,0.6999506752089705,14,0.6087560243137531,0.6087560243137531,0.7883056629639694,0.592249352100582,1.6666666666666667,0.0,9,9,near (<3 m)
env_031_res3.0deg_120samp_o10_r9.8x6.7,3.0,6.969615,0.3199181116594595,10,-0.0021980633279866926,1.0,0.010553854628471176,0.636432685150754,97.5,12.5,9,2,far (>6 m)
env_032_res2.0deg_180samp_o15_r8.4x4.4,2.0,1.41565,0.6329588569196506,15,0.1271164006199586,0.44553185874829787,0.19708134846153563,0.4652157790522893,42.77777777777778,23.88888888888889,11,8,near (<3 m)
env_033_res1.5deg_240samp_o13_r6.2x5.1,1.5,4.372649999999999,0.5471185552966181,13,0.8338837906080383,0.9011992972808898,0.38257973437086856,0.7050355493360135,49.583333333333336,2.0833333333333335,6,7,mid (3-6 m)
env_034_res1.5deg_240samp_o8_r4.9x7.3,1.5,4.596965,0.5327681887755246,8,0.19367016077387172,0.9589006870705808,0.2586603320162209,0.8578628561974944,58.75,2.9166666666666665,7,2,mid (3-6 m)
env_035_res1.5deg_240samp_o5_r6.9x6.6,1.5,5.67659,0.4615747576495405,5,0.8993665277185151,1.0,0.24155354309247418,0.7762477192922496,75.0,0.8333333333333334,2,1,mid (3-6 m)
env_036_res4.0deg_90samp_o13_r5.1x4.6,4.0,1.787355,0.508162418091856,13,0.13222260193416388,0.5595663422446717,0.054103418506082544,0.4112031095630449,66.66666666666667,41.111111111111114,10,9,near (<3 m)
